county_fips,czone,CountyName,NameoflargestplaceinCommuti,state
37149,700,Polk County,"Spartanburg city, SC",SC
45021,700,Cherokee County,"Spartanburg city, SC",SC
45083,700,Spartanburg County,"Spartanburg city, SC",SC
37071,800,Gaston County,"Gastonia city, NC",NC
37045,800,Cleveland County,"Gastonia city, NC",NC
37161,800,Rutherford County,"Gastonia city, NC",NC
37109,800,Lincoln County,"Gastonia city, NC",NC
37167,900,Stanly County,"Charlotte city, NC",NC
45091,900,York County,"Charlotte city, NC",NC
37007,900,Anson County,"Charlotte city, NC",NC
37119,900,Mecklenburg County,"Charlotte city, NC",NC
37025,900,Cabarrus County,"Charlotte city, NC",NC
37159,900,Rowan County,"Charlotte city, NC",NC
37179,900,Union County,"Charlotte city, NC",NC
45023,900,Chester County,"Charlotte city, NC",NC
45057,900,Lancaster County,"Charlotte city, NC",NC
47091,1001,Johnson County,"Boone town, NC",NC
37011,1001,Avery County,"Boone town, NC",NC
37189,1001,Watauga County,"Boone town, NC",NC
37121,1002,Mitchell County,"Morganton city, NC",NC
37199,1002,Yancey County,"Morganton city, NC",NC
37111,1002,McDowell County,"Morganton city, NC",NC
37023,1002,Burke County,"Morganton city, NC",NC
37097,1100,Iredell County,"Hickory city, NC",NC
37027,1100,Caldwell County,"Hickory city, NC",NC
37003,1100,Alexander County,"Hickory city, NC",NC
37035,1100,Catawba County,"Hickory city, NC",NC
13241,1201,Rabun County,"Franklin town, NC",NC
37113,1201,Macon County,"Franklin town, NC",NC
37099,1202,Jackson County,"Cullowhee CDP, NC",NC
37173,1202,Swain County,"Cullowhee CDP, NC",NC
37075,1202,Graham County,"Cullowhee CDP, NC",NC
37175,1203,Transylvania County,"Asheville city, NC",NC
37089,1203,Henderson County,"Asheville city, NC",NC
37087,1203,Haywood County,"Asheville city, NC",NC
37115,1203,Madison County,"Asheville city, NC",NC
37021,1203,Buncombe County,"Asheville city, NC",NC
37039,1204,Cherokee County,"Andrews town, NC",NC
13291,1204,Union County,"Andrews town, NC",NC
37043,1204,Clay County,"Andrews town, NC",NC
13281,1204,Towns County,"Andrews town, NC",NC
45025,1301,Chesterfield County,"Bennettsville city, SC",SC
