countyid,emp
30049,3871
30051,57
30053,417
30055,45
30057,120
30059,12
30061,17
30063,4871
30065,199
30067,521
30071,30
30073,212
30075,27
30077,78
30079,11
30081,1012
30083,1293
30085,334
30087,144
30089,97
30091,52
30093,943
30095,335
30097,66
30099,106
30101,271
30103,5
30105,233
30107,81
30109,11
30111,6386
31001,1552
31003,322
31005,4
31009,2
31011,267
31013,298
31015,22
31017,127
31019,2262
31021,322
31023,230
31025,320
31027,263
31029,316
31031,88
31033,1244
31035,196
31037,198
31039,259
31041,262
31043,352
31045,113
31047,638
31049,33
31051,24
31053,1703
31055,67539
31057,60
31059,209
31061,62
31063,72
31065,133
31067,504
31069,6
31071,62
31073,36
31075,8
31077,57
31079,2406
31081,616
31083,40
31087,45
31089,430
31091,3
31093,98
31095,355
31097,70
31099,201
31101,218
31103,9
31105,47
31107,273
31109,21254
31111,649
31113,16
31115,3
31117,6
31119,1431
31121,270
31123,123
31125,45
31127,95
31129,123
31131,533
31133,17
31135,124
31137,463
31139,158
31141,847
31143,122
31145,292
31147,133
31149,53
31151,975
31153,9374
31155,365
31157,1379
31159,1196
31161,173
31163,29
31167,41
31169,262
31173,319
31175,116
31177,542
31179,461
31181,132
31183,71
31185,861
32001,807
32003,273503
32005,5055
32007,4527
32009,2
32013,570
32015,108
32017,26
32019,1113
32021,107
32023,2583
32027,67
32029,64
32031,36088
32033,256
32510,3274
33001,1786
33003,1837
33005,3501
33007,595
33009,12011
33011,28165
33013,12041
33015,19807
33017,2711
33019,1747
34001,32439
34003,104915
34005,27493
34007,24883
34009,2588
34011,5520
34013,58388
34015,10788
34017,59522
34019,6964
34021,64369
34023,114007
34025,33465
34027,89757
34029,13919
34031,19857
34033,1610
34035,65013
34037,2879
34039,36926
34041,4422
35001,47320
35003,71
35005,1260
35006,617
35007,318
35009,881
35011,7
35013,4943
35015,1750
35017,401
35019,189
35023,40
35025,2368
35027,581
35028,9436
35029,261
35031,1403
35033,2
35035,2040
35037,57
35039,819
35041,198
35043,2321
35045,3012
35047,277
35049,6581
35051,125
35053,251
35055,1484
35057,248
35059,214
35061,740
36001,32839
36003,3059
36005,29606
36007,7258
36009,3472
36011,1882
36013,2387
36015,2772
36017,1258
36019,1720
36021,1712
36023,801
36025,689
36027,19787
36029,59854
36031,1001
36033,1818
36035,741
36037,1532
36039,1997
36041,192
36043,1042
36045,2536
36047,74919
36049,261
36051,812
36053,3631
36055,69995
36057,1063
36059,90004
36061,833898
36063,8251
36065,18430
36067,34402
36069,6036
36071,14512
36073,530
36075,1187
36077,1976
36079,1969
36081,98427
36083,9871
36085,11308
36087,16802
36089,5359
36091,9702
36093,11829
36095,380
36097,385
36099,1069
36101,2731
36103,92747
36105,2921
36107,619
36109,23575
36111,4580
36113,3928
36115,715
36117,1233
36119,79054
36121,620
36123,1080
37001,7050
37003,257
37005,79
37007,301
37009,299
37011,885
37013,875
37015,196
37017,219
37019,1235
37021,10035
37023,942
37025,6726
37027,748
37029,11
37031,1373
37033,35
37035,7317
37037,1044
37039,253
37041,219
37043,36
37045,2779
37047,641
37049,2143
37051,8440
37053,758
37055,665
37057,2776
37059,468
37061,676
37063,70659
37065,812
37067,30563
37069,720
37071,4731
37073,57
37075,15
37077,705
37079,73
37081,40870
37083,783
37085,2430
37087,933
37089,2217
37091,1085
37093,151
37095,83
37097,9785
37099,4156
37101,1479
37103,67
37105,1428
37107,1492
37109,819
37111,302
37113,1257
37115,425
37117,226
37119,123505
37121,141
37123,321
37125,2096
37127,3809
37129,10412
37131,710
37133,1642
37135,5115
37137,256
37139,820
37141,383
37143,102
37145,435
37147,5053
37149,156
37151,1994
37153,278
37155,742
37157,1706
37159,4945
37161,559
37163,1257
37165,793
37167,1014
37169,242
37171,2267
37173,190
37175,1039
37177,19
37179,4352
37181,1455
37183,90383
37185,46
37187,117
37189,2752
37191,2613
37193,2984
37195,1719
37197,301
37199,78
38001,85
38003,404
38005,722
38007,8
38009,162
38011,163
38013,85
38015,6336
38017,14798
38019,210
38021,341
38023,88
38025,270
38027,40
38029,144
38031,155
38033,87
38035,2670
38037,55
38039,50
38041,64
38043,23
38045,289
38047,79
38049,111
38051,96
38053,422
38055,236
38057,45
38059,1875
38061,477
38063,130
38065,3
38067,278
38069,180
38071,417
38073,220
38075,93
38077,813
38079,576
38081,97
38083,23
38085,522
38087,6
38089,1591
38091,50
38093,1199
38095,81
38097,483
38099,502
38101,2013
38103,225
38105,1660
39001,159
39003,4278
39005,2353
39007,1656
39009,1309
39011,832
39013,830
39015,324
39017,17409
39019,284
39021,599
39023,5487
39025,5747
39027,3774
39029,2214
39031,355
39033,693
39035,121870
39037,721
39039,1274
39041,10657
39043,2822
39045,1556
39047,1516
39049,120494
39051,827
39053,1321
39055,2658
39057,12795
39059,468
39061,93690
39063,6202
39065,1584
39067,304
39069,419
39071,677
39073,359
39075,1988
39077,756
39079,176
39081,2159
39083,2987
39085,10725
39087,792
39089,4757
39091,2170
39093,11043
39095,22875
39097,1322
39099,6784
39101,1257
39103,6134
39105,84
39107,835
39109,2170
39111,158
39113,34901
39115,105
39117,273
39119,1614
39121,203
39123,600
39125,329
39127,96
39129,850
39131,506
39133,4944
39135,284
39137,407
39139,2557
39141,1156
39143,678
39145,768
39147,2627
39149,1734
39151,14081
39153,38696
39155,4151
39157,2045
39159,4602
39161,692
39163,80
39165,14015
39167,1944
39169,3607
39171,732
39173,5149
39175,392
40001,159
40003,70
40005,108
40007,84
40009,486
40011,416
40013,747
40015,1050
40017,2035
40019,1275
40021,508
40023,261
40025,32
40027,7089
40029,9
40031,3520
40033,688
40035,303
40037,1438
40039,880
40041,1410
40043,112
40045,128
40047,1811
40049,552
40051,826
40053,141
40055,24
40057,44
40059,19
40061,80
40063,378
40065,532
40067,53
40069,81
40071,1919
40073,390
40075,92
40077,149
40079,404
40081,644
40083,253
40085,2846
40087,953
40089,681
40091,196
40093,231
40095,332
40097,496
40099,464
40101,1840
40103,294
40105,144
40107,119
